"Nest","Treatment","instar","before.smi","after.smi","diff.smi"
"Col_01","Parasite","Adult",5.63488917779365,4.70434490109513,-0.930544276698521
"Col_01","Parasite","Sub 1",5.93863799989423,5.21444699496758,-0.724191004926648
"Col_01","Parasite","Sub 2",5.28806550444111,5.15844098645085,-0.129624517990264
"Col_02","Parasite","Adult",5.51114981116309,5.36686852499739,-0.144281286165706
"Col_02","Parasite","Sub 1",6.06531052246057,5.65970306981014,-0.405607452650427
"Col_02","Parasite","Sub 2",5.32409077587849,5.43980478828533,0.115714012406841
"Col_03","Parasite","Adult",5.33027623820127,4.97174281817648,-0.35853342002479
"Col_03","Parasite","Sub 1",5.5399380142183,4.4787688936973,-1.061169120521
"Col_03","Parasite","Sub 2",5.23750389390599,4.76631525169372,-0.471188642212271
"Col_04","Parasite","Adult",5.13952400477405,4.75862676455004,-0.380897240224012
"Col_04","Parasite","Sub 1",4.97386872722446,5.33885394689918,0.364985219674725
"Col_04","Parasite","Sub 2",5.89276889481031,4.43704948498583,-1.45571940982448
"Col_05","Parasite","Adult",5.55331787565636,5.07860274783141,-0.474715127824946
"Col_05","Parasite","Sub 1",5.25242309083194,4.80153789046801,-0.450885200363925
"Col_05","Parasite","Sub 2",6.20808287285824,4.99864990170476,-1.20943297115349
"Col_06","Parasite","Adult",4.90349463154418,4.01379224685974,-0.889702384684446
"Col_06","Parasite","Sub 1",5.04407455061453,5.96480647890374,0.920731928289203
"Col_06","Parasite","Sub 2",5.10217819377281,5.03558062401765,-0.0665975697551602
"Col_07","Parasite","Adult",4.68667860336437,4.5972458509392,-0.0894327524251706
"Col_07","Parasite","Sub 1",4.828995414989,4.21870169496514,-0.610293720023865
"Col_07","Parasite","Sub 2",4.93131193251205,5.02563242670187,0.0943204941898266
"Col_08","Parasite","Adult",4.97565517150611,5.51695962614021,0.541304454634099
"Col_08","Parasite","Sub 1",5.30299959864089,5.56590609029964,0.262906491658754
"Col_08","Parasite","Sub 2",5.32728760585511,5.13921656226574,-0.188071043589373
"Col_09","Parasite","Adult",5.67222889441823,5.24124710582136,-0.430981788596877
"Col_09","Parasite","Sub 1",4.76349352070091,5.11221677771322,0.348723257012315
"Col_09","Parasite","Sub 2",4.40595788741783,5.19660685759474,0.790648970176909
"Col_10","Parasite","Adult",4.60038090222819,4.82037474897074,0.219993846742548
"Col_10","Parasite","Sub 1",4.87330430937579,4.65761012429612,-0.215694185079672
"Col_10","Parasite","Sub 2",4.39336963843629,5.11579094786908,0.72242130943279
"Col_11","Parasite","Adult",4.43833621906297,5.33897842372735,0.900642204664381
"Col_11","Parasite","Sub 1",4.95605292705355,5.46950055465855,0.513447627604992
"Col_11","Parasite","Sub 2",4.41543783674458,5.13407437593972,0.718636539195142
"Col_12","Parasite","Adult",5.542392015816,5.29025068272747,-0.252141333088533
"Col_12","Parasite","Sub 1",4.88995959144902,5.45773327791801,0.567773686468987
"Col_12","Parasite","Sub 2",4.39016528288059,5.61270107883253,1.22253579595194
"Col_13","Control","Adult",5.46902507431708,5.51040669476763,0.0413816204505508
"Col_13","Control","Sub 1",5.51555148434679,6.75580118326458,1.24024969891779
"Col_13","Control","Sub 2",5.46658598452304,5.74034974315676,0.273763758633717
"Col_14","Control","Adult",4.74778042346508,5.27923091938642,0.531450495921336
"Col_14","Control","Sub 1",5.22278460131992,4.87346826368547,-0.349316337634448
"Col_14","Control","Sub 2",4.4863988084799,NA,NA
"Col_15","Control","Adult",4.52261888986802,5.69469796058058,1.17207907071256
"Col_15","Control","Sub 1",4.65033855499855,5.4014878120685,0.751149257069948
"Col_15","Control","Sub 2",4.70356974188116,4.39696670597197,-0.306603035909195
"Col_16","Control","Adult",4.32571698974825,4.63604540380467,0.31032841405642
"Col_16","Control","Sub 1",4.85688890858718,4.96148345492528,0.104594546338094
"Col_16","Control","Sub 2",4.1943631801257,4.74233808882621,0.547974908700505
"Col_17","Control","Adult",5.66446121963197,4.88692627632235,-0.777534943309626
"Col_17","Control","Sub 1",4.87525056038,5.12740105977627,0.252150499396272
"Col_17","Control","Sub 2",4.45151829486622,5.59372706752002,1.1422087726538
"Col_18","Control","Adult",6.54398341811013,4.26653478808348,-2.27744863002665
"Col_18","Control","Sub 1",5.12988061448675,5.71881298397177,0.588932369485015
"Col_18","Control","Sub 2",5.6126570154074,5.81754921560457,0.204892200197172
"Col_19","Control","Adult",4.85612096585764,6.59348386582915,1.73736289997151
"Col_19","Control","Sub 1",4.52328633808332,5.2748513931454,0.751565055062078
"Col_19","Control","Sub 2",4.68265310392879,4.30589758187002,-0.376755522058779
"Col_20","Control","Adult",5.20341751124323,4.87493924234366,-0.328478268899569
"Col_20","Control","Sub 1",5.35166770002096,6.93685781921367,1.58519011919271
"Col_20","Control","Sub 2",5.65159504287859,5.66295940092012,0.0113643580415319
"Col_22","Control","Adult",4.88561907112739,4.68459352706864,-0.201025544058755
"Col_22","Control","Sub 1",4.89712830274417,5.74295231589651,0.845824013152341
"Col_22","Control","Sub 2",5.2863645471452,5.31792843171921,0.0315638845740107
"Col_23","Control","Adult",5.2514884904051,5.77346485322172,0.521976362816616
"Col_23","Control","Sub 1",4.80637715967265,5.7102461738021,0.903869014129453
"Col_23","Control","Sub 2",5.26130275020998,5.95229869933263,0.690995949122641
"Col_24","Control","Adult",5.35844659754818,5.17823204561706,-0.18021455193112
"Col_24","Control","Sub 1",4.52662952621996,6.0817890061343,1.55515947991434
"Col_24","Control","Sub 2",5.0492131159218,5.7104232252669,0.661210109345095
