"Date","Nest","Ind.","weight.grams","CT.W","PT.L","instar","Measurement","Treatment","notes","weight.mg","resids","SMI"
"3 July 2018","Col_01",1,0.0103,1.42,2.77,"Adult","before","Parasite","",10.3,0.157468229590427,11.1344671438108
"3 July 2018","Col_01",2,0.01008,1.6,3.57,"Adult","before","Parasite","",10.08,-0.12986329044102,7.03412264873024
"3 July 2018","Col_01",3,0.01181,1.49,3.51,"Adult","before","Parasite","",11.81,0.187127276611929,10.7014566206068
"3 July 2018","Col_01",4,0.00997,1.36,3.09,"Adult","before","Parasite","",9.97,0.221033304987024,12.6266287240974
"3 July 2018","Col_01",5,0.00917,1.41,3.1,"Adult","before","Parasite","",9.17,0.0569975763106541,10.1731952674948
"3 July 2018","Col_02",1,0.01235,1.61,3.6,"Adult","before","Parasite","",12.35,0.0593663905786171,8.42350825315911
"3 July 2018","Col_02",2,0.00846,1.43,3.13,"Adult","before","Parasite","",8.46,-0.0549520190456805,8.91303750157731
"3 July 2018","Col_02",3,0.00679,1.31,3.02,"Adult","before","Parasite","",6.79,-0.0796922625440121,9.86553051252305
"3 July 2018","Col_02",4,0.01613,1.55,2.94,"Adult","before","Parasite","",16.13,0.410956894364074,12.6458992730066
"3 July 2018","Col_02",5,0.00795,1.34,3.22,"Adult","before","Parasite","",7.95,0.0276123413615184,10.6305386847489
"3 July 2018","Col_03",1,0.00777,1.4,3.17,"Adult","before","Parasite","",7.77,-0.0928215892638401,8.84799785291748
"3 July 2018","Col_03",2,0.00944,1.37,2.85,"Adult","before","Parasite","",9.44,0.150096331785039,11.6384758535446
"3 July 2018","Col_03",3,0.00843,1.5,3.39,"Adult","before","Parasite","",8.43,-0.164916472984757,7.45361684912894
"3 July 2018","Col_03",4,0.00907,1.36,3.4,"Adult","before","Parasite","",9.07,0.126424985140323,11.4868126908288
"3 July 2018","Col_03",5,0.00825,1.37,3.02,"Adult","before","Parasite","",8.25,0.0153535519742192,10.1713374779389
"3 July 2018","Col_04",1,0.01114,1.58,3.58,"Adult","before","Parasite","",11.14,-0.00186604410105646,8.14083102301831
"3 July 2018","Col_04",2,0.01528,1.52,3.35,"Adult","before","Parasite","",15.28,0.400339339867397,12.8696654320266
"3 July 2018","Col_04",3,0.00833,1.49,3.55,"Adult","before","Parasite","",8.33,-0.161955897418591,7.54810615153726
"3 July 2018","Col_04",4,0.00716,1.41,2.72,"Adult","before","Parasite","",7.16,-0.190429728985165,7.94330186644087
"3 July 2018","Col_04",5,0.0126,1.56,3.42,"Adult","before","Parasite","",12.6,0.149653612736431,9.64813693079177
"3 July 2018","Col_05",1,0.00867,1.44,3.08,"Adult","before","Parasite","CT pic didn’t save",8.67,-0.045949039315586,8.90380240967474
"3 July 2018","Col_05",2,0.00844,1.42,3.11,"Adult","before","Parasite","",8.44,-0.0416933570372879,9.12377696055953
"3 July 2018","Col_05",3,0.0119,1.41,3.15,"Adult","before","Parasite","",11.9,0.317598690159765,13.2018564540009
"3 July 2018","Col_05",4,0.0143,1.5,3.46,"Adult","before","Parasite","",14.3,0.363546292267341,12.6437391390918
"3 July 2018","Col_05",5,0.00886,1.56,3.65,"Adult","before","Parasite","",8.86,-0.202496436604011,6.78432485768374
"3 July 2018","Col_06",1,0.00785,1.41,3.55,"Adult","before","Parasite","",7.85,-0.0984261781634023,8.70878766083251
"3 July 2018","Col_06",2,0.00801,1.44,3.19,"Adult","before","Parasite","",8.01,-0.125127069027769,8.22600430236386
"3 July 2018","Col_06",3,0.01133,1.48,3.61,"Adult","before","Parasite","",11.33,0.16062890916423,10.5232080592306
"3 July 2018","Col_06",4,0.00759,1.45,3.31,"Adult","before","Parasite","",7.59,-0.194395493710596,7.59934300924506
"3 July 2018","Col_06",5,0.00917,1.42,3.32,"Adult","before","Parasite","",9.17,0.0412616206232197,9.91291880667428
"3 July 2018","Col_07",1,0.00864,1.55,3.62,"Adult","before","Parasite","",8.64,-0.213321414957079,6.77374889763034
"3 July 2018","Col_07",2,0.01172,1.56,3.42,"Adult","before","Parasite","",11.72,0.077253582927866,8.97429879594282
"3 July 2018","Col_07",3,0.00972,1.53,3.44,"Adult","before","Parasite","",9.72,-0.0666207200940237,7.9921980639193
"3 July 2018","Col_07",4,0.00906,1.51,3.45,"Adult","before","Parasite","",9.06,-0.107639052880612,7.81780740245855
"3 July 2018","Col_07",5,0.0105,1.45,3.33,"Adult","before","Parasite","",10.5,0.130148172045344,10.5129251116038
"3 July 2018","Col_08",1,0.00929,1.39,3.56,"Adult","before","Parasite","",9.29,0.101808361887801,10.8606773191628
"3 July 2018","Col_08",2,0.00864,1.45,3.34,"Adult","before","Parasite","",8.64,-0.0648245023021698,8.65063552040544
"3 July 2018","Col_08",3,0.00978,1.44,3.28,"Adult","before","Parasite","",9.78,0.0745216539386894,10.0437355901521
"3 July 2018","Col_08",4,0.00917,1.57,3.67,"Adult","before","Parasite","",9.17,-0.182333621268301,6.85907037805655
"3 July 2018","Col_08",5,0.00907,1.45,3.43,"Adult","before","Parasite","",9.07,-0.0162548209910888,9.0811648344997
"3 July 2018","Col_09",1,0.00816,1.43,3.04,"Adult","before","Parasite","",8.16,-0.0910570236877971,8.59697234194691
"3 July 2018","Col_09",2,0.00812,1.27,2.91,"Adult","before","Parasite","",8.12,0.168235225815525,13.218936080204
"3 July 2018","Col_09",3,0.00898,1.49,3.17,"Adult","before","Parasite","",8.98,-0.0868194712832341,8.13709402650715
"3 July 2018","Col_09",4,0.01186,1.43,3,"Adult","before","Parasite","",11.86,0.282870200905767,12.4951093107219
"3 July 2018","Col_09",5,0.00866,1.38,3.46,"Adult","before","Parasite","",8.66,0.0476613412797046,10.3958195123643
"3 July 2018","Col_10",1,0.00803,1.36,3.48,"Adult","before","Parasite","",8.03,0.00463724897194772,10.169691941274
"3 July 2018","Col_10",2,0.01014,1.62,3.69,"Adult","before","Parasite","",10.14,-0.151588891524649,6.76086232327672
"3 July 2018","Col_10",3,0.00847,1.51,3.35,"Adult","before","Parasite","",8.47,-0.174977664271537,7.30870073938454
"3 July 2018","Col_10",4,0.00982,1.44,3.1,"Adult","before","Parasite","",9.82,0.0786032922583379,10.0848142633225
"3 July 2018","Col_10",5,0.00662,1.39,3.08,"Adult","before","Parasite","",6.62,-0.23703482098903,7.7392555277565
"3 July 2018","Col_11",1,0.00989,1.51,3.27,"Adult","before","Parasite","",9.89,-0.0199840273008794,8.53400830135928
"3 July 2018","Col_11",2,0.01274,1.57,3.58,"Adult","before","Parasite","",12.74,0.146475742607343,9.52939548707094
"3 July 2018","Col_11",3,0.00816,1.56,3.47,"Adult","before","Parasite","",8.16,-0.284799032244985,6.24831725041753
"3 July 2018","Col_11",4,0.0078,1.43,3.2,"Adult","before","Parasite","",7.8,-0.136177458968266,8.21769415039043
"3 July 2018","Col_11",5,0.00812,1.49,3.1,"Adult","before","Parasite","",8.12,-0.187489199423756,7.35781776116237
"3 July 2018","Col_12",1,0.01476,1.56,3.36,"Adult","before","Parasite","",14.76,0.307877617951326,11.3021032617846
"3 July 2018","Col_12",2,0.02027,1.65,3.63,"Adult","before","Parasite","gravid?",20.27,0.500208356357206,12.6355261640389
"3 July 2018","Col_12",3,0.01052,1.53,3.37,"Adult","before","Parasite","",10.52,0.0124718687431923,8.64999214325422
"3 July 2018","Col_12",4,0.00892,1.57,3.66,"Adult","before","Parasite","",8.92,-0.209974960944756,6.67207282140289
"3 July 2018","Col_12",5,0.01038,1.47,3.5,"Adult","before","Parasite","",10.38,0.0881515558698222,9.88356367092259
"4 July 2018","Col_13",1,0.01044,1.42,3.1,"Adult","before","Control","",10.44,0.170968916809339,11.2858094156684
"4 July 2018","Col_13",2,0.01648,1.67,3.81,"Adult","before","Control","",16.48,0.266386746909953,9.82895799806588
"4 July 2018","Col_13",3,0.00976,1.49,3.31,"Adult","before","Control","",9.76,-0.00352695317234114,8.84387947647103
"4 July 2018","Col_13",4,0.00663,1.41,3,"Adult","before","Control","",6.63,-0.267334905759948,7.35532002437192
"4 July 2018","Col_13",5,0.0119,1.44,3.38,"Adult","before","Control","",11.9,0.270720570009447,12.220905268181
"4 July 2018","Col_14",1,0.00885,1.42,3.13,"Adult","before","Control","",8.85,0.00574179337468443,9.56699361385685
"4 July 2018","Col_14",2,0.00938,1.44,3.36,"Adult","before","Control","",9.38,0.0327619329100967,9.63294885844856
"4 July 2018","Col_14",3,0.00675,1.38,3.12,"Adult","before","Control","",6.75,-0.201510876410201,8.10297710259344
"4 July 2018","Col_14",4,0.00621,1.39,3.3,"Adult","before","Control","",6.21,-0.300969294992559,7.25993607664167
"4 July 2018","Col_14",5,0.01056,1.51,3.29,"Adult","before","Control","",10.56,0.0455651053426153,9.11214637637553
"4 July 2018","Col_15",1,0.00756,1.42,3.2,"Adult","before","Control","",7.56,-0.151804475453712,8.17248268031162
"4 July 2018","Col_15",2,0.00833,1.51,3.31,"Adult","before","Control","",8.33,-0.191644716756749,7.18789576848562
"4 July 2018","Col_15",3,0.01526,1.64,3.21,"Adult","before","Control","",15.26,0.229837198767484,9.72693858212882
"4 July 2018","Col_15",4,0.00563,1.44,3.08,"Adult","before","Control","",5.63,-0.477708387956437,5.78182324872766
"4 July 2018","Col_15",5,0.01285,1.57,3.28,"Adult","before","Control","",12.85,0.155072903804555,9.61167441199855
"4 July 2018","Col_16",1,0.00649,1.49,3.46,"Adult","before","Control","",6.49,-0.411556822881344,5.88081739777633
"4 July 2018","Col_16",2,0.0105,1.51,3.41,"Adult","before","Control","",10.5,0.0398670842279776,9.06037281741885
"4 July 2018","Col_16",3,0.00862,1.36,3.3,"Adult","before","Control","",8.62,0.0755378056888789,10.9169046741945
"4 July 2018","Col_16",4,0.0067,1.41,3.43,"Adult","before","Control","",6.7,-0.256832183560799,7.4329780035131
"4 July 2018","Col_16",5,0.01035,1.68,3.75,"Adult","before","Control","",10.35,-0.212067601597388,6.03923563964203
"4 July 2018","Col_17",1,0.00907,1.29,2.73,"Adult","before","Control","",9.07,0.244085558192032,13.9431666340087
"4 July 2018","Col_17",2,0.00818,1.41,2.96,"Adult","before","Control","",8.18,-0.0572475593430634,9.07488956249808
"4 July 2018","Col_17",3,0.00873,1.36,3.28,"Adult","before","Control","",8.73,0.0882180908647885,11.0562155227051
"4 July 2018","Col_17",4,0.00962,1.54,3.43,"Adult","before","Control","",9.62,-0.0914678480739631,7.72323331564954
"4 July 2018","Col_17",5,0.00926,1.38,2.77,"Adult","before","Control","",9.26,0.114650667363449,11.116084143706
"4 July 2018","Col_18",1,0.00778,1.3,2.79,"Adult","before","Control","",7.78,0.0734755046346696,11.6261219659471
"4 July 2018","Col_18",2,0.01093,1.5,3.37,"Adult","before","Control","",10.93,0.0947980571899261,9.66406075456457
"4 July 2018","Col_18",3,0.01227,1.33,3.12,"Adult","before","Control","",12.27,0.478276614292689,16.8640954144811
"4 July 2018","Col_18",4,0.01318,1.48,3.28,"Adult","before","Control","",13.18,0.311875363198676,12.2414723937034
"4 July 2018","Col_18",5,0.01056,1.46,3.57,"Adult","before","Control","",10.56,0.120542844519253,10.3098370096159
"4 July 2018","Col_19",1,0.01338,1.73,3.77,"Adult","before","Control","",13.38,-0.0205947691122724,7.01112703291936
"4 July 2018","Col_19",2,0.00713,1.31,3.13,"Adult","before","Control","",7.13,-0.0308319696884123,10.3595335131501
"4 July 2018","Col_19",3,0.00737,1.41,3.02,"Adult","before","Control","",7.37,-0.161522003756474,8.17627580386441
"4 July 2018","Col_19",4,0.009,1.43,2.9,"Adult","before","Control","",9,0.00692338467240697,9.48195478891203
"4 July 2018","Col_19",5,0.00765,1.36,3.08,"Adult","before","Control","",7.65,-0.0438416311482781,9.68843628278282
"4 July 2018","Col_20",1,0.00792,1.44,3.71,"Adult","before","Control","",7.92,-0.136426624281702,8.13357728773056
"4 July 2018","Col_20",2,0.01013,1.54,3.42,"Adult","before","Control","",10.13,-0.0398107944909863,8.13267707770581
"4 July 2018","Col_20",3,0.0088,1.39,3.2,"Adult","before","Control","",8.8,0.0476215305462143,10.287832121489
"4 July 2018","Col_20",4,0.01285,1.52,3.75,"Adult","before","Control","",12.85,0.227138367470252,10.8229843456506
"4 July 2018","Col_20",5,0.01188,1.53,3.23,"Adult","before","Control","",11.88,0.134049975368127,9.76824207812359
"4 July 2018","Col_22",1,0.01066,1.37,3.09,"Adult","before","Control","",10.66,0.271638770365328,13.1426009108883
"4 July 2018","Col_22",2,0.00744,1.37,3.39,"Adult","before","Control","",7.44,-0.0879887995273696,9.17269707101395
"4 July 2018","Col_22",3,0.00639,1.43,3.21,"Adult","before","Control","",6.39,-0.335566924274369,6.73218790012754
"4 July 2018","Col_22",4,0.00928,1.46,3.5,"Adult","before","Control","",9.28,-0.00866888696075264,9.06015979632915
"4 July 2018","Col_22",5,0.00811,1.51,3.15,"Adult","before","Control","",8.11,-0.218410304808179,6.99805938564447
"4 July 2018","Col_23",1,0.00779,1.38,2.58,"Adult","before","Control","",7.79,-0.0582125214119822,9.35143579691894
"4 July 2018","Col_23",2,0.00708,1.31,2.7,"Adult","before","Control","",7.08,-0.0378692964089884,10.2868860130579
"4 July 2018","Col_23",3,0.00866,1.54,3.36,"Adult","before","Control","",8.66,-0.196597390177234,6.95251564589658
"4 July 2018","Col_23",4,0.01257,1.45,3.01,"Adult","before","Control","",12.57,0.310085937484022,12.5854732050343
