Date,Nest,Ind#,weight.grams,CT-W,PT-L,instar,Measurement,Treatment,notes
3 July 2018,Col_01,1,0.0103,1.42,2.77,Adult,before,Parasite,
3 July 2018,Col_01,2,0.01008,1.6,3.57,Adult,before,Parasite,
3 July 2018,Col_01,3,0.01181,1.49,3.51,Adult,before,Parasite,
3 July 2018,Col_01,4,0.00997,1.36,3.09,Adult,before,Parasite,
3 July 2018,Col_01,5,0.00917,1.41,3.1,Adult,before,Parasite,
3 July 2018,Col_01,6,0.005,1.21,2.39,Sub 2,before,Parasite,
3 July 2018,Col_01,7,0.00384,1.15,1.74,Sub 2,before,Parasite,
3 July 2018,Col_01,8,0.00546,1.16,2.07,Sub 2,before,Parasite,
3 July 2018,Col_01,9,0.0058,1.25,2.36,Sub 2,before,Parasite,
3 July 2018,Col_01,10,0.00369,1.05,2,Sub 2,before,Parasite,
3 July 2018,Col_01,11,NA,0.87,1.53,Sub 1,before,Parasite,
3 July 2018,Col_01,12,NA,1.02,1.59,Sub 1,before,Parasite,
3 July 2018,Col_01,13,NA,1.1,2.06,Sub 1,before,Parasite,
3 July 2018,Col_01,14,NA,1.03,1.53,Sub 1,before,Parasite,
3 July 2018,Col_01,15,NA,0.99,1.93,Sub 1,before,Parasite,
3 July 2018,Col_02,1,0.01235,1.61,3.6,Adult,before,Parasite,
3 July 2018,Col_02,2,0.00846,1.43,3.13,Adult,before,Parasite,
3 July 2018,Col_02,3,0.00679,1.31,3.02,Adult,before,Parasite,
3 July 2018,Col_02,4,0.01613,1.55,2.94,Adult,before,Parasite,
3 July 2018,Col_02,5,0.00795,1.34,3.22,Adult,before,Parasite,
3 July 2018,Col_02,6,0.00461,1.15,2.45,Sub 2,before,Parasite,
3 July 2018,Col_02,7,0.00586,1.15,2.05,Sub 2,before,Parasite,
3 July 2018,Col_02,8,0.0064,1.33,2.35,Sub 2,before,Parasite,
3 July 2018,Col_02,9,0.00473,1.23,2.26,Sub 2,before,Parasite,
3 July 2018,Col_02,10,0.00535,1.2,2.28,Sub 2,before,Parasite,
3 July 2018,Col_02,11,NA,0.9,1.55,Sub 1,before,Parasite,
3 July 2018,Col_02,12,NA,0.89,1.5,Sub 1,before,Parasite,
3 July 2018,Col_02,13,NA,0.96,1.57,Sub 1,before,Parasite,
3 July 2018,Col_02,14,NA,1.14,2.01,Sub 1,before,Parasite,
3 July 2018,Col_02,15,NA,0.95,1.68,Sub 1,before,Parasite,
3 July 2018,Col_03,1,0.00777,1.4,3.17,Adult,before,Parasite,
3 July 2018,Col_03,2,0.00944,1.37,2.85,Adult,before,Parasite,
3 July 2018,Col_03,3,0.00843,1.5,3.39,Adult,before,Parasite,
3 July 2018,Col_03,4,0.00907,1.36,3.4,Adult,before,Parasite,
3 July 2018,Col_03,5,0.00825,1.37,3.02,Adult,before,Parasite,
3 July 2018,Col_03,6,0.00492,1.25,2.38,Sub 2,before,Parasite,
3 July 2018,Col_03,7,0.00377,1.15,1.9,Sub 2,before,Parasite,
