"","Nest","TLbiom","Date","Latitude","Longitude","BaskLen","BaskWid","BaskHeight","GroundHeight","TangleHeight","Condition","Notes","BasketCrossSection_cm2","NumSpiders","Treatment","AvgPreySze","LogPreySze","AvgPreySze_incl0","LogAvgPreySzeIncl0","AvgPreySze_NoOut","LogAvgPreySze_NoOut","TLNumPrey.x","TLNumPrey.y","NumObsHours","NumPrey_Hr_Cap","Biomass_mg","Biomass_hr_capita","LogBiomass_hr_capita","LogBaskCrossSect_cm2","LogNumPrey_Hr_Capita"
"1","Ex_01",80.1507514981701,"2 July 2018",-1.06703,-77.61845,61,44,17,135,200,"good","",2108.01,199.644831506908,"Control",10.2857142857143,1.01223445641701,3.96296296296296,0.598020013526222,8.91666666666667,0.950202531637585,11,11,18,0.00306099139405953,7.2864319543791,0.00202760959143225,-2.6930156630512,3.32387266675612,-2.51413789141466
"2","Ex_01",80.1507514981701,"2 July 2018",-1.06703,-77.61845,61,44,17,135,200,"good","",2108.01,199.644831506908,"Experimental",7,0.845098040014257,3.96296296296296,0.598020013526222,8.91666666666667,0.950202531637585,11,11,18,0.00306099139405953,7.2864319543791,0.00202760959143225,-2.6930156630512,3.32387266675612,-2.51413789141466
"3","Ex_02",0,"2 July 2018",-1.06906,-77.61882,20,16,12,149,84,"good","",251.33,7.82658158046411,"Control",NA,NA,0,-Inf,NA,NA,0,0,18,0,NA,NA,NA,2.40024433123815,-Inf
"4","Ex_02",0,"2 July 2018",-1.06906,-77.61882,20,16,12,149,84,"good","",251.33,7.82658158046411,"Experimental",NA,NA,0,-Inf,NA,NA,0,0,18,0,NA,NA,NA,2.40024433123815,-Inf
"5","Ex_03",0,"2 July 2018",-1.06906,-77.61882,16,12,11,30,35,"good","",150.8,3.59505255143411,"Control",18,1.25527250510331,0.692307692307692,-0.159700842867512,18,1.25527250510331,0,0,18,0,NA,NA,NA,2.17840134153376,-Inf
"6","Ex_03",0,"2 July 2018",-1.06906,-77.61882,16,12,11,30,35,"good","",150.8,3.59505255143411,"Experimental",NA,NA,0.692307692307692,-0.159700842867512,18,1.25527250510331,0,0,18,0,NA,NA,NA,2.17840134153376,-Inf
"7","Ex_04",26.8798337093769,"2 July 2018",-1.06624,-77.61553,41,29,9,31,110,"fair","",933.84,57.7730074153739,"Control",4.33333333333333,0.636822097587174,2,0.301029995663981,5.8,0.763427993562937,7,7,18,0.00673132499564844,3.8399762441967,0.00369258972503678,-2.43266894310743,2.97027247251535,-2.17189944072993
"8","Ex_04",26.8798337093769,"2 July 2018",-1.06624,-77.61553,41,29,9,31,110,"fair","",933.84,57.7730074153739,"Experimental",6.42857142857143,0.808114473761087,2,0.301029995663981,5.8,0.763427993562937,7,7,18,0.00673132499564844,3.8399762441967,0.00369258972503678,-2.43266894310743,2.97027247251535,-2.17189944072993
"9","Ex_05",10.0765359230834,"24 July 2018",-1.04573,-77.71194,50,30,8,80,44,"fair","",1178.1,82.3020065479497,"Control",12,1.07918124604762,2.07407407407407,0.316824262847213,8,0.903089986991944,5,5,18,0.00337510334715767,2.01530718461667,0.00136037400487013,-2.86634167551124,3.07118215599008,-2.47171292434018
"10","Ex_05",10.0765359230834,"24 July 2018",-1.04573,-77.71194,50,30,8,80,44,"fair","",1178.1,82.3020065479497,"Experimental",5,0.698970004336019,2.07407407407407,0.316824262847213,8,0.903089986991944,5,5,20,0.00303759301244191,2.01530718461667,0.00122433660438312,-2.91209916607191,3.07118215599008,-2.51747041490085
