"","Date","Treatment","Nest","Time","Order","Size","Code","X..Seen","Notes","Interval","SizeNoNA"
"1","08-Jul-18","Control","Ex_01","12:58",NA,NA,"H",NA,"",NA,0
"6","08-Jul-18","Control","Ex_01","14:55","Coleoptera",4,"H",NA,"",2,4
"9","08-Jul-18","Control","Ex_01","16:40",NA,NA,"H",NA,"",2,0
"12","09-Jul-18","Control","Ex_01","8:59","Coleoptera",12,"H",NA,"",NA,12
"15","09-Jul-18","Control","Ex_01","10:52",NA,NA,"H",NA,"",2,0
"18","09-Jul-18","Control","Ex_01","12:52",NA,NA,"H",NA,"",2,0
"21","09-Jul-18","Control","Ex_01","17:00",NA,NA,"H",NA,"",NA,0
"24","09-Jul-18","Control","Ex_01","19:01","Lepidoptera",11,"H",NA,"headlamp catch",2,11
"27","09-Jul-18","Control","Ex_01","21:04","Coleoptera",11,"H",NA,"",2,11
"30","10-Jul-18","Control","Ex_01","4:55","Coleoptera",12,"H",NA,"",NA,12
"33","10-Jul-18","Control","Ex_01","6:50","Coleoptera",10,"H",NA,"",2,10
"36","10-Jul-18","Control","Ex_01","8:45",NA,NA,"H",NA,"",2,0
"39","11-Jul-18","Control","Ex_01","21:00","Hemiptera",12,"H",NA,"",NA,12
"42","11-Jul-18","Control","Ex_01","22:55",NA,NA,"H",NA,"",2,0
"43","25-Jul-18","Experimental","Ex_01","13:16",NA,NA,"H",NA,"",2,0
"44","25-Jul-18","Experimental","Ex_01","14:51",NA,NA,"H",NA,"",2,0
"45","25-Jul-18","Experimental","Ex_01","16:44",NA,NA,"H",NA,"",2,0
"46","28-Jul-18","Experimental","Ex_01","9:00",NA,NA,"H",NA,"",NA,0
"47","28-Jul-18","Experimental","Ex_01","10:46",NA,NA,"H",NA,"",2,0
"48","28-Jul-18","Experimental","Ex_01","12:41","Coleoptera",3,"H",NA,"",NA,3
"49","28-Jul-18","Experimental","Ex_01","20:47","Hemiptera",10,"H",NA,"",NA,10
"50","28-Jul-18","Experimental","Ex_01","20:47","Hemiptera",9,"H",NA,"",NA,9
"51","28-Jul-18","Experimental","Ex_01","22:45",NA,NA,"H",NA,"",2,0
"52","29-Jul-18","Experimental","Ex_01","0:46",NA,NA,"H",NA,"",2,0
"53","29-Jul-18","Experimental","Ex_01","16:44","Coleoptera",8,"H",NA,"",NA,8
"54","29-Jul-18","Experimental","Ex_01","18:45","Orthoptera",5,"H",NA,"",2,5
"55","29-Jul-18","Experimental","Ex_01","20:31",NA,NA,"H",NA,"",2,0
"57","08-Jul-18","Control","Ex_02","12:52",NA,NA,"H",NA,"",NA,0
"61","08-Jul-18","Control","Ex_02","14:48",NA,NA,"H",NA,"",2,0
"64","08-Jul-18","Control","Ex_02","16:36",NA,NA,"H",NA,"",2,0
"67","09-Jul-18","Control","Ex_02","8:51",NA,NA,"H",NA,"",NA,0
"70","09-Jul-18","Control","Ex_02","10:45",NA,NA,"H",NA,"",2,0
"73","09-Jul-18","Control","Ex_02","12:45",NA,NA,"H",NA,"",2,0
"76","09-Jul-18","Control","Ex_02","16:54",NA,NA,"H",NA,"",NA,0
"79","09-Jul-18","Control","Ex_02","18:55",NA,NA,"H",NA,"",2,0
"82","09-Jul-18","Control","Ex_02","20:57",NA,NA,"H",NA,"",2,0
"85","10-Jul-18","Control","Ex_02","4:48",NA,NA,"H",NA,"",NA,0
"88","10-Jul-18","Control","Ex_02","6:45",NA,NA,"H",NA,"",2,0
