"","Nest","Treatment","s1.after.res","instar"
"1","Col_01","Parasite",0.000259011329479361,"Sub1"
"2","Col_02","Parasite",-0.0984948589964073,"Sub1"
"3","Col_03","Parasite",-0.0117315250786417,"Sub1"
"4","Col_04","Parasite",0.0906303429445306,"Sub1"
"5","Col_05","Parasite",0.0501328605575163,"Sub1"
"6","Col_06","Parasite",0.295960269836712,"Sub1"
"7","Col_07","Parasite",-0.109744804770226,"Sub1"
"8","Col_08","Parasite",0.165891045162024,"Sub1"
"9","Col_09","Parasite",0.0318997691988685,"Sub1"
"10","Col_10","Parasite",-0.0514243035661204,"Sub1"
"11","Col_11","Parasite",0.121428710247793,"Sub1"
"12","Col_12","Parasite",0.0869455825771809,"Sub1"
"13","Col_13","Control",0.0945459935772545,"Sub1"
"14","Col_14","Control",0.105680370098005,"Sub1"
"15","Col_15","Control",0.244287445251503,"Sub1"
"16","Col_16","Control",-0.111474124720784,"Sub1"
"17","Col_17","Control",0.0202362234775839,"Sub1"
"18","Col_18","Control",0.150048632876164,"Sub1"
"19","Col_19","Control",0.10688113865085,"Sub1"
"20","Col_20","Control",0.342671147519341,"Sub1"
"21","Col_22","Control",0.041319285386681,"Sub1"
"22","Col_23","Control",0.147146894066663,"Sub1"
"23","Col_24","Control",-0.0152567965829093,"Sub1"
